periodo_inicio,periodo_fim,data_publicacao,territorio,ranking,titulo,bilheteria_brl,moeda,criterio_ranking,fonte_dados,fonte_consulta,url_fonte
2026-07-16,2026-07-19,2026-07-20,Brasil,1,A Odisseia,22200000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,2,Toy Story 5,12510000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,3,Moana,7470000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,4,Minions & Monstros,5670000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,5,A Morte do Demônio: Em Chamas,1630000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,6,O Convite,1540000.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,7,Dia D,338300.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,8,Supergirl,205800.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,9,Todo Mundo em Pânico,201200.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
2026-07-16,2026-07-19,2026-07-20,Brasil,10,Obsessão,101700.00,BRL,bilheteria_bruta,Rentrak,Omelete,https://www.omelete.com.br/filmes/bilheteria-brasil-a-odisseia-estreia-16-a-19-de-julho
